city,country_code,Latitude,Longitude,Temperature,Wind_speed,Humidity,Cloudiness
bend,us,44.06,-121.32,22.0,4.1,19.0,1.0
powell,us,40.16,-83.08,24.3,5.1,88.0,40.0
evans,us,40.38,-104.69,32.0,2.6,21.0,1.0
tsuruoka,jp,38.61,139.81,21.83,1.31,100.0,92.0
vestmannaeyjar,is,63.44,-20.27,10.0,6.7,87.0,40.0
tuatapere,nz,-46.13,167.69,10.33,8.81,93.0,0.0
barbastro,es,42.04,0.13,20.0,6.2,42.0,0.0
alindao,cf,5.04,21.21,20.28,1.21,91.0,32.0
quthing,ls,-30.4,27.7,12.53,4.11,28.0,0.0
bagdarin,ru,54.44,113.59,12.48,1.21,80.0,56.0
itacoatiara,br,-3.14,-58.44,33.78,2.21,41.0,0.0
guilin,cn,25.28,110.29,24.0,2.0,88.0,0.0
monte alegre,br,-2.0,-54.07,31.73,1.86,51.0,20.0
bani,do,18.28,-70.33,28.33,6.51,100.0,24.0
luderitz,na,-26.65,15.16,10.63,1.66,91.0,0.0
boa viagem,br,-5.13,-39.73,30.68,3.01,32.0,0.0
giyon,et,8.53,37.98,12.08,1.21,96.0,56.0
rypin,pl,53.07,19.41,14.58,4.36,100.0,92.0
arteaga,mx,25.45,-100.85,29.0,3.6,42.0,40.0
noumea,nc,-22.28,166.46,16.0,1.0,82.0,88.0
mount pleasant,us,32.79,-79.86,30.0,4.6,74.0,1.0
tuensang,in,26.24,94.81,20.93,0.76,96.0,76.0
kokstad,za,-30.55,29.42,15.93,3.56,34.0,0.0
gort,ie,53.07,-8.82,16.0,6.7,55.0,75.0
amuntai,id,-2.42,115.25,23.73,0.51,96.0,24.0
parrita,cr,9.52,-84.33,28.0,2.6,42.0,40.0
arroio dos ratos,br,-30.09,-51.73,15.0,9.8,54.0,0.0
durban,za,-29.86,31.03,23.33,8.26,82.0,0.0
tortoli,it,39.93,9.66,25.0,4.6,41.0,40.0
zvenyhorodka,ua,49.08,30.97,18.93,4.21,33.0,0.0
murgab,tm,37.5,61.97,23.0,3.1,25.0,0.0
sabang,id,1.17,120.82,27.48,2.31,100.0,12.0
tanabe,jp,33.73,135.39,25.53,2.41,97.0,88.0
riyadh,sa,24.63,46.72,35.0,1.5,19.0,0.0
khandbari,np,27.38,87.21,7.53,0.76,66.0,80.0
argelia,co,4.73,-76.12,30.0,2.1,61.0,40.0
bari,it,41.13,16.86,26.0,2.1,65.0,0.0
madinat sittah uktubar,eg,29.82,31.05,30.0,5.1,55.0,0.0
caceres,es,39.48,-6.37,23.03,2.86,41.0,0.0
almaznyy,ru,48.03,40.04,15.78,3.11,40.0,0.0
shar,kz,49.59,81.05,10.93,2.56,83.0,12.0
lashio,mm,22.93,97.75,20.53,0.91,98.0,76.0
lovozero,ru,68.01,35.02,14.68,3.86,91.0,48.0
myskhako,ru,44.66,37.76,21.0,2.0,94.0,0.0
mtwara,tz,-10.28,40.18,23.33,3.66,100.0,0.0
susanville,us,40.42,-120.65,26.0,2.6,10.0,1.0
newport,us,41.49,-71.31,26.1,4.1,59.0,1.0
kaitangata,nz,-46.28,169.85,9.83,9.66,74.0,0.0
sartell,us,45.62,-94.21,23.5,2.1,77.0,90.0
sao felix do xingu,br,-6.64,-51.99,31.18,2.21,47.0,0.0
ruteng,id,-8.61,120.46,21.38,1.31,100.0,36.0
lucea,jm,18.44,-78.17,31.0,7.2,70.0,20.0
mount isa,au,-20.73,139.49,10.0,1.0,46.0,0.0
hrubieszow,pl,50.8,23.89,17.13,3.61,95.0,24.0
panguipulli,cl,-39.64,-72.33,11.0,2.1,87.0,90.0
ascoli piceno,it,42.85,13.58,26.0,3.1,74.0,0.0
gloucester,us,37.41,-76.53,28.3,2.06,57.0,40.0
torva,ee,58.0,25.93,14.0,2.1,93.0,92.0
rabat,ma,34.02,-6.83,24.0,1.0,69.0,0.0
roblin,ca,51.23,-101.35,16.38,6.46,72.0,12.0
hanstholm,dk,57.12,8.61,14.33,5.61,95.0,92.0
shinjo,jp,38.77,140.31,23.38,1.86,84.0,76.0
markova,ru,52.21,104.21,11.0,2.0,93.0,0.0
fort nelson,ca,58.81,-122.69,11.0,2.1,100.0,90.0
lipari,it,38.47,14.95,25.0,1.5,83.0,40.0
axim,gh,4.87,-2.24,24.73,5.11,96.0,68.0
ferkessedougou,ci,9.6,-5.2,20.68,1.51,97.0,48.0
escanaba,us,45.75,-87.06,22.0,3.6,78.0,90.0
oum hadjer,td,13.3,19.7,21.13,4.11,99.0,92.0
kjopsvik,no,68.1,16.37,11.0,14.9,87.0,92.0
cachoeira do sul,br,-30.05,-52.89,11.43,6.91,62.0,0.0
khalkhal,ir,37.62,48.53,11.83,0.61,87.0,0.0
mineros,bo,-17.12,-63.23,21.0,7.7,30.0,75.0
farmington,us,36.73,-108.21,25.6,4.1,38.0,40.0
ramanuj ganj,in,23.81,83.7,24.48,1.56,99.0,92.0
vincennes,us,38.68,-87.53,31.7,5.1,56.0,1.0
lloydminster,ca,53.28,-110.01,13.0,2.1,54.0,90.0
piet retief,za,-27.01,30.81,16.53,3.41,50.0,0.0
colesberg,za,-30.72,25.1,12.08,5.61,20.0,0.0
saint-augustin,ca,45.63,-73.98,30.0,4.1,42.0,75.0
hongjiang,cn,27.21,109.83,19.58,1.66,78.0,0.0
singarayakonda,in,15.25,80.02,30.28,4.31,54.0,92.0
mahebourg,mu,-20.41,57.7,23.0,6.7,73.0,75.0
venkatagiri,in,13.96,79.58,24.18,1.66,87.0,32.0
savonlinna,fi,61.87,28.88,15.0,0.5,93.0,0.0
tanout,ne,14.97,8.88,23.18,2.71,98.0,32.0
ilesha,ng,7.14,5.26,22.23,1.51,97.0,88.0
luena,ao,-11.78,19.91,17.33,2.21,48.0,0.0
bezhta,ru,42.13,46.13,12.18,0.41,94.0,24.0
brokopondo,sr,5.06,-54.98,33.0,3.1,46.0,40.0
zhigansk,ru,66.77,123.37,8.43,1.41,81.0,0.0
aguie,ne,13.51,7.78,23.83,2.91,83.0,36.0
elbistan,tr,38.2,37.19,13.58,1.16,62.0,0.0
kalispell,us,48.2,-114.32,18.9,3.1,41.0,20.0
chipinge,zw,-20.19,32.62,15.93,1.31,89.0,0.0
hastings,nz,-39.64,176.84,8.43,2.76,100.0,0.0
sikeston,us,36.88,-89.59,32.0,3.6,69.0,1.0
uk,ru,55.08,98.86,14.28,2.31,74.0,8.0
klyuchi,ru,52.25,79.17,10.18,2.41,90.0,0.0
sovetskiy,ru,56.76,48.47,9.28,1.21,90.0,0.0
couva,tt,10.42,-61.46,31.0,6.2,70.0,75.0
ambovombe,mg,-25.18,46.09,20.43,5.16,84.0,0.0
pisco,pe,-13.71,-76.2,22.0,5.1,30.0,0.0
taonan,cn,45.34,122.78,16.13,4.76,96.0,88.0
kurilsk,ru,45.23,147.88,12.18,4.96,99.0,88.0
masuguru,tz,-11.37,38.42,23.23,4.31,59.0,0.0
birakan,ru,49.02,131.7,14.93,1.06,94.0,92.0
kabalo,cd,-6.05,26.92,23.28,3.31,79.0,24.0
hun,ly,29.13,15.95,31.33,2.01,31.0,92.0
hearst,ca,49.69,-83.67,20.93,2.41,74.0,24.0
tevaitoa,pf,-16.78,-151.5,25.28,2.91,100.0,92.0
ereymentau,kz,51.62,73.1,8.58,2.96,95.0,12.0
xaltianguis,mx,17.1,-99.71,30.0,3.6,74.0,40.0
diapaga,bf,12.07,1.79,23.28,4.06,95.0,92.0
ellisras,za,-23.67,27.74,18.53,4.51,50.0,0.0
coihaique,cl,-45.58,-72.07,9.0,1.5,93.0,90.0
bon accord,ca,53.84,-113.41,16.0,2.6,63.0,75.0
nouadhibou,mr,20.93,-17.03,24.0,10.3,69.0,0.0
porto novo,cv,17.02,-25.06,28.0,7.2,69.0,20.0
koltubanovskiy,ru,52.94,52.03,12.13,2.86,80.0,0.0
miami,us,25.77,-80.19,26.1,4.1,96.0,75.0
saint-louis,fr,48.72,7.19,13.0,1.5,87.0,0.0
vana-vigala,ee,58.78,24.25,15.33,2.91,81.0,92.0
indian head,ca,50.53,-103.67,18.93,5.26,40.0,0.0
quelimane,mz,-17.88,36.89,20.18,2.71,89.0,0.0
nantucket,us,41.28,-70.1,25.0,4.6,51.0,1.0
jiblah,ye,13.92,44.15,20.03,0.26,59.0,64.0
umm kaddadah,sd,13.6,26.69,26.23,3.56,63.0,8.0
waddan,ly,29.16,16.14,31.33,2.01,31.0,92.0
boyabat,tr,41.47,34.77,17.68,0.86,79.0,12.0
porangatu,br,-13.44,-49.14,28.78,1.21,59.0,8.0
aloleng,ph,16.13,119.78,23.28,5.01,100.0,92.0
majene,id,-3.54,118.97,27.33,6.11,100.0,8.0
san miguel de cauri,pe,-10.1,-76.58,13.28,3.11,30.0,64.0
issoire,fr,45.54,3.25,14.0,2.1,87.0,68.0
porto velho,br,-8.75,-63.87,25.0,6.2,78.0,75.0
son la,vn,21.32,103.9,21.08,0.21,98.0,36.0
murray bridge,au,-35.12,139.28,7.78,1.41,100.0,0.0
sao goncalo do amarante,br,-3.61,-38.97,29.0,6.2,66.0,0.0
katsuura,jp,33.93,134.5,24.03,1.36,92.0,0.0
dong hoi,vn,17.48,106.6,27.03,8.96,97.0,88.0
sulangan,ph,11.14,123.72,28.63,6.31,100.0,44.0
pahrump,us,36.21,-115.98,36.7,2.6,2.0,40.0
bimbo,cf,4.33,18.53,26.0,2.31,83.0,20.0
sarakhs,ir,36.54,61.16,24.0,5.1,33.0,0.0
mpanda,tz,-6.34,31.07,19.68,1.96,49.0,0.0
camamu,br,-13.94,-39.11,24.33,4.21,83.0,92.0
macatuba,br,-22.5,-48.71,21.68,3.31,80.0,36.0
isangel,vu,-19.55,169.27,22.73,7.41,100.0,44.0
curico,cl,-34.98,-71.23,16.0,6.2,51.0,0.0
alamogordo,us,32.9,-105.96,32.4,5.1,31.0,1.0
naze,jp,28.37,129.48,28.53,9.76,92.0,100.0
wewak,pg,-3.55,143.63,22.73,1.11,100.0,64.0
gap,fr,44.56,6.08,10.78,2.76,63.0,0.0
dakar,sn,14.69,-17.45,27.68,5.46,96.0,20.0
pustoshka,ru,56.34,29.37,20.58,5.36,65.0,48.0
metro,id,-5.11,105.31,23.63,1.21,97.0,12.0
yelan-koleno,ru,51.15,41.22,12.33,1.66,66.0,0.0
mutoko,zw,-17.4,32.23,15.93,2.06,79.0,0.0
shizuishan,cn,39.02,106.36,12.28,1.06,90.0,0.0
ocho rios,jm,18.41,-77.1,32.0,11.8,66.0,20.0
thongwa,mm,16.76,96.52,26.0,2.6,94.0,90.0
vorobyevka,ru,50.65,40.92,12.98,1.76,49.0,8.0
tagusao,ph,9.19,117.81,25.93,2.86,96.0,0.0
dickinson,us,46.88,-102.79,21.1,3.6,43.0,1.0
mudgee,au,-32.6,149.59,9.03,3.66,98.0,88.0
letlhakane,bw,-21.42,25.59,16.33,1.51,64.0,0.0
rosita,ni,13.92,-84.4,26.93,1.96,81.0,92.0
tevriz,ru,57.51,72.4,14.88,4.26,87.0,44.0
uaua,br,-9.84,-39.48,28.18,6.11,42.0,20.0
moanda,ga,-1.55,13.22,22.78,0.91,89.0,68.0
lieksa,fi,63.32,30.02,14.63,2.01,96.0,88.0
nkowakowa,za,-23.89,30.29,9.68,0.46,86.0,0.0
andilamena,mg,-17.01,48.57,13.23,3.31,96.0,44.0
san fernando,mx,24.85,-98.15,36.13,6.06,36.0,0.0
denpasar,id,-8.65,115.22,26.0,4.1,74.0,75.0
libenge,cd,3.65,18.64,22.78,0.91,93.0,8.0
tyshkivka,ua,50.76,32.34,17.98,4.36,38.0,0.0
homer,us,59.64,-151.54,12.2,3.31,89.0,90.0
pakpattan,pk,30.34,73.39,27.93,2.46,73.0,8.0
lamar,us,38.09,-102.62,33.9,6.2,30.0,1.0
khandyga,ru,62.65,135.58,9.88,1.21,94.0,0.0
son tay,vn,21.14,105.5,27.0,1.5,94.0,88.0
sawakin,sd,19.1,37.33,28.93,1.21,75.0,20.0
kolosovka,ru,56.47,73.61,14.63,4.26,99.0,92.0
nara,ml,15.17,-7.29,29.63,1.76,60.0,44.0
poso,id,-1.4,120.75,25.03,1.11,100.0,44.0
tocache,pe,-8.19,-76.51,23.03,1.16,36.0,0.0
belinskiy,ru,52.97,43.41,12.88,1.81,72.0,0.0
baracoa,cu,20.35,-74.5,28.33,5.41,93.0,92.0
kyzyl-suu,kg,42.34,78.0,11.38,3.01,100.0,12.0
sal rei,cv,16.18,-22.92,28.0,4.1,74.0,40.0
bandarbeyla,so,9.49,50.81,25.18,14.71,87.0,0.0
sidmouth,gb,50.68,-3.24,16.0,3.1,55.0,0.0
newark,us,40.74,-74.17,27.2,4.1,45.0,1.0
sibolga,id,1.74,98.78,19.43,0.91,100.0,36.0
george town,ky,19.29,-81.37,31.0,5.1,70.0,40.0
kayerkan,ru,69.35,87.76,11.18,1.11,100.0,92.0
manica,mz,-18.94,32.88,20.0,1.31,68.0,0.0
gemena,cd,3.25,19.78,23.28,1.31,86.0,48.0
sayyan,ye,15.17,44.32,21.98,3.11,24.0,48.0
novikovo,ru,51.15,37.89,13.33,1.36,68.0,0.0
medicine hat,ca,50.04,-110.68,18.0,2.6,45.0,40.0
djenne,ml,13.91,-4.55,26.43,6.51,82.0,8.0
berezovyy,ru,51.67,135.7,14.78,1.16,93.0,100.0
bafoulabe,ml,13.81,-10.83,27.78,1.16,83.0,36.0
charters towers,au,-20.07,146.27,15.43,1.56,94.0,0.0
innisfail,au,-17.52,146.03,14.33,0.86,83.0,0.0
ipixuna,br,-1.76,-48.8,26.03,1.76,90.0,64.0
kathu,th,7.91,98.33,27.0,2.1,78.0,20.0
lichuan,cn,30.3,108.94,13.58,0.86,84.0,0.0
rosamorada,mx,22.12,-105.21,27.33,1.06,88.0,48.0
uthal,pk,25.81,66.62,24.28,2.01,90.0,68.0
constitucion,mx,23.99,-104.67,25.0,2.1,38.0,20.0
bossier city,us,32.52,-93.73,36.1,4.1,44.0,20.0
tecoanapa,mx,16.99,-99.26,30.0,3.6,74.0,40.0
san luis,ar,-33.3,-66.34,18.63,4.01,12.0,0.0
moussoro,td,13.64,16.49,25.03,3.46,84.0,8.0
melenki,ru,55.94,42.98,16.0,3.11,87.0,20.0
humberto de campos,br,-2.6,-43.46,27.33,4.96,87.0,0.0
kirs,ru,59.34,52.24,7.53,1.31,85.0,0.0
sur,om,22.57,59.53,29.43,2.11,89.0,0.0
ibra,om,22.69,58.55,24.98,1.11,66.0,24.0
evensk,ru,61.92,159.24,10.43,6.26,100.0,0.0
santa rosa,ar,-36.62,-64.29,15.88,3.31,29.0,0.0
chenzhou,cn,25.81,113.03,21.38,1.81,100.0,92.0
bukachacha,ru,52.99,116.91,13.73,0.96,92.0,68.0
khuzhir,ru,53.19,107.35,9.98,1.96,95.0,0.0
ust-uda,ru,54.17,103.03,10.03,1.41,85.0,0.0
callaguip,ph,18.07,120.49,23.33,5.21,100.0,92.0
naila,de,50.33,11.71,9.58,2.71,84.0,68.0
saint leonard,ca,47.17,-67.92,28.3,6.2,41.0,20.0
osa,ru,57.28,55.46,12.53,2.51,94.0,0.0
mezhdurechensk,ru,53.69,88.07,11.98,1.11,80.0,44.0
boda,cf,4.32,17.47,20.58,1.41,97.0,24.0
pinega,ru,64.7,43.39,16.43,3.76,76.0,32.0
chamba,in,32.56,76.12,16.53,0.76,84.0,64.0
lampa,cl,-33.29,-70.87,24.0,1.0,19.0,0.0
jacareacanga,br,-6.22,-57.76,31.03,0.71,61.0,8.0
ivankiv,ua,50.93,29.9,22.0,3.0,49.0,56.0
uxbridge,ca,44.11,-79.13,24.0,5.7,94.0,90.0
vilela,pt,41.24,-8.38,19.0,4.6,72.0,0.0
wismar,de,53.89,11.46,12.0,3.1,81.0,20.0
quatre cocos,mu,-20.21,57.76,23.0,6.7,73.0,75.0
prievidza,sk,48.77,18.62,18.0,1.5,72.0,0.0
warren,us,42.48,-83.03,25.3,8.2,80.0,90.0
havre,us,48.55,-109.68,20.0,2.6,38.0,1.0
ornskoldsvik,se,63.29,18.72,12.0,1.5,93.0,12.0
anadyr,ru,64.73,177.51,8.0,3.0,93.0,75.0
baghdad,iq,33.3,44.38,36.0,4.1,23.0,0.0
changchun,cn,43.88,125.32,17.0,4.0,93.0,90.0
aguada,ph,12.82,123.83,27.93,4.36,96.0,44.0
chifeng,cn,42.27,118.96,12.18,0.86,90.0,76.0
cleburne,us,32.35,-97.39,36.0,5.1,41.0,1.0
bangkal,ph,7.07,125.56,23.0,0.71,100.0,90.0
hazorasp,uz,41.32,61.08,16.0,3.1,59.0,0.0
gorzow wielkopolski,pl,52.74,15.23,12.78,5.11,74.0,0.0
moindou,nc,-21.69,165.68,16.0,0.5,87.0,80.0
baffa,pk,34.44,73.22,19.33,0.96,93.0,76.0
boa vista,br,2.82,-60.67,34.0,5.1,44.0,40.0
guerande,fr,48.47,-4.17,13.0,1.5,66.0,0.0
sobolevo,ru,54.43,31.9,14.28,3.16,68.0,0.0
izhma,ru,65.01,53.91,4.78,1.06,85.0,8.0
pindiga,ng,9.98,10.93,21.68,2.21,93.0,44.0
yichang,cn,30.77,111.32,23.33,3.36,72.0,0.0
kanker,in,20.27,81.49,22.33,3.21,98.0,92.0
abu kamal,sy,34.45,40.92,29.93,5.26,24.0,0.0
mabaruma,gy,8.2,-59.78,29.03,4.26,75.0,24.0
shache,cn,38.42,77.24,15.53,1.61,67.0,92.0
snezhnogorsk,ru,69.19,33.23,16.0,3.0,72.0,0.0
gwanda,zw,-20.94,29.0,18.03,3.81,46.0,0.0
pandan,ph,11.72,122.09,28.28,7.51,99.0,48.0
simbahan,ph,6.3,120.58,28.63,4.36,100.0,32.0
bahia blanca,ar,-38.72,-62.27,13.78,4.06,48.0,0.0
melito di porto salvo,it,37.92,15.77,26.0,5.1,69.0,20.0
rodez,fr,44.35,2.57,13.0,4.1,87.0,75.0
caohai,cn,26.87,104.28,10.83,1.11,100.0,0.0
guangyuan,cn,32.43,105.86,20.08,0.96,91.0,32.0
semnan,ir,35.58,53.39,21.78,1.61,46.0,24.0
sampit,id,-2.54,112.95,24.78,1.76,90.0,36.0
vanino,ru,53.93,40.55,14.18,3.16,55.0,0.0
lere,ng,10.39,8.57,19.88,2.56,96.0,56.0
kaoma,zm,-14.8,24.8,15.28,2.41,47.0,0.0
iskateley,ru,67.68,53.15,9.78,6.56,81.0,0.0
klaksvik,fo,62.23,-6.59,9.0,1.5,76.0,88.0
njombe,tz,-9.34,34.77,14.83,3.46,72.0,20.0
xam nua,la,20.42,104.04,19.58,0.51,100.0,88.0
